# Data from the low resolution GMT shoreline, borders, and rivers database
> Shore Bin # 1, Level 1
-84.8694590677	81.9961852445
-84.7536430915	81.8736552987
-85.1528191043	81.9980163272
-85.6896314946	82.0009155413
-85.3752956435	81.8512245365
-86.0250247959	82.0192263676
-86.8169680323	82.0511177234
-87.1654840925	81.9571221485
-87.9662775616	82.1242084382
-89.0432593271	81.9830624857
-88.8761730373	81.8164339666
-89.2449835966	81.9406424048
-89.2301823453	81.7831692988
-89.6121156634	81.907988098
-90	81.8959334707
> Shore Bin # 27, Level 1
-90	81.1103990234
-89.6987869078	81.0058747234
-87.3713282979	81.0646219577
-84.6427100023	81.2881666285
-85.7535667964	81.0707255665
-89.4172579538	80.9120317388
-87.4949263752	80.623025864
-85.6501106279	81.0470740826
-82.3060959792	81.1775387198
-85.6781872282	80.9655909056
-86.7125963226	80.6007476921
-86.0617990387	80.5293354696
-85.5684748608	80.6216525521
-85.7863736934	80.5313191424
-83.7932402533	80.5420004578
-83.7827115282	80.7278553445
-83.2137026017	80.8390936141
-83.3434042878	80.6782635233
-81.7337300679	80.8154421302
-83.0693522545	80.6414892805
-83.1151293202	80.5400167849
-80.9324788281	80.6538490883
-80	80.7774471656
> Shore Bin # 27, Level 1
-87.1111619745	80
-87.2533760586	80.0788891432
-87.8863202869	80.0598153658
-88.2586404211	80.1535057603
-87.5616083009	80.1753261616
-87.6150148775	80.4063477531
-88.3556878004	80.4385442893
-88.6214999619	80.3837644007
-88.3411917296	80.0776684215
-89.1155870909	80.2183566033
-89.0690470741	80.4834058137
-89.577019913	80.5433737697
-89.7210650797	80.4551766232
-90	80.4840161746
> Shore Bin # 27, Level 1
-90	81.4033722438
-88.2479591058	81.5800717174
-87.2106507973	81.4906538491
-88.6065461204	81.5136949722
-89.9232471199	81.3321126116
-88.873884184	81.2401007095
-90	81.2022583352
> Shore Bin # 27, Level 1
-80	80.5311665522
-80.1956206607	80.5281147478
-80.3257801175	80.4621957733
-83.1943236439	80.3265430686
-82.2868696117	80.0482185092
-81.8590066377	80
> Shore Bin # 27, Level 1
-82.7258716716	80
-83.7828641184	80.2470435645
-86.4966811627	80.2980086976
-86.4921034562	80.0170901045
-86.2565041581	80
> Shore Bin # 27, Level 1
-90	81.6096742199
-89.5042343786	81.6267643244
-90	81.5585564965
> Shore Bin # 28, Level 1
-70	83.1047531853
-71.0542458228	83.0952925917
-72.5597009232	83.1987487602
-75.2405584802	83.203479057
-77.0000762951	83.1294728008
-77.0881208515	83.1256580453
-78.1087968261	82.9243915465
-78.0279240101	82.8082703899
-78.4361028458	82.8784618906
-78.1068131533	82.9488059815
-78.9146257725	82.9567406729
-79.0646219577	82.8888380255
-79.3780422675	82.9723048753
-80	82.9263752193
> Shore Bin # 28, Level 1
